"species","class","order","family","source"
"Turdus leucomelas","Aves","Passeriformes","Turdidae","faunabr"
"Turdus nudigenis","Aves","Passeriformes","Turdidae","faunabr"
"Turdus rufiventris","Aves","Passeriformes","Turdidae","faunabr"
"Tyranniscus burmeisteri","Aves","Passeriformes","Tyrannidae","faunabr"
"Tyrannus melancholicus","Aves","Passeriformes","Tyrannidae","faunabr"
"Tyto furcata","Aves","Strigiformes","Tytonidae","faunabr"
"Uroderma bilobatum","Mammalia","Chiroptera","Phyllostomidae","faunabr"
"Uropelia campestris","Aves","Columbiformes","Columbidae","faunabr"
"Urubitinga urubitinga","Aves","Accipitriformes","Accipitridae","faunabr"
"Vanellus chilensis","Aves","Charadriiformes","Charadriidae","faunabr"
"Veniliornis affinis","Aves","Piciformes","Picidae","faunabr"
"Veniliornis mixtus","Aves","Piciformes","Picidae","faunabr"
"Veniliornis passerinus","Aves","Piciformes","Picidae","faunabr"
"Vireo chivi","Aves","Passeriformes","Vireonidae","faunabr"
"Volatinia jacarina","Aves","Passeriformes","Thraupidae","faunabr"
"Xenodon rabdocephalus","Reptilia","Squamata","Dipsadidae","faunabr"
"Xenops minutus","Aves","Passeriformes","Xenopidae","faunabr"
"Xenops rutilans","Aves","Passeriformes","Xenopidae","faunabr"
"Xenopsaris albinucha","Aves","Passeriformes","Tityridae","faunabr"
"Xiphocolaptes albicollis","Aves","Passeriformes","Dendrocolaptidae","faunabr"
"Xiphocolaptes falcirostris","Aves","Passeriformes","Dendrocolaptidae","faunabr"
"Xiphocolaptes major","Aves","Passeriformes","Dendrocolaptidae","faunabr"
"Xiphorhynchus fuscus","Aves","Passeriformes","Dendrocolaptidae","faunabr"
"Xiphorhynchus guttatoides","Aves","Passeriformes","Dendrocolaptidae","faunabr"
"Xiphorhynchus guttatus","Aves","Passeriformes","Dendrocolaptidae","faunabr"
"Xiphorhynchus obsoletus","Aves","Passeriformes","Dendrocolaptidae","faunabr"
"Xolmis irupero","Aves","Passeriformes","Tyrannidae","faunabr"
"Zenaida auriculata","Aves","Columbiformes","Columbidae","faunabr"
"Zonotrichia capensis","Aves","Passeriformes","Passerellidae","faunabr"
"Brachycephalus pitanga","Amphibia","Anura","Brachycephalidae","gbif_faunabr"
"Sphaenorhynchus carneus","Amphibia","Anura","Hylidae","gbif_faunabr"
"Boana punctatus","Amphibia","Anura","Hylidae","gbif_faunabr"
"Brachycephalus pulex","Amphibia","Anura","Brachycephalidae","gbif_faunabr"
"Boana leptolineatus","Amphibia","Anura","Hylidae","gbif_faunabr"
"Boana atlanticus","Amphibia","Anura","Hylidae","gbif_faunabr"
"Chelonoidis carbonaria","Reptilia","Testudines","Testudinidae","gbif_faunabr"
"Pristimantis delius","Amphibia","Anura","Craugastoridae","gbif_faunabr"
"Boana semiguttatus","Amphibia","Anura","Hylidae","gbif_faunabr"
"Boana geographicus","Amphibia","Anura","Hylidae","gbif_faunabr"
"Boana latistriatus","Amphibia","Anura","Hylidae","gbif_faunabr"
"Boana stenocephalus","Amphibia","Anura","Hylidae","gbif_faunabr"
"Harttia gracilis","Actinopterygii","Siluriformes","Loricariidae","gbif_faunabr"
"Chelonoidis denticulata","Reptilia","Testudines","Testudinidae","gbif_faunabr"
"Chiasmocleis alagoanus","Amphibia","Anura","Microhylidae","gbif_faunabr"
"Boana semilineatus","Amphibia","Anura","Hylidae","gbif_faunabr"
"Brachycephalus pernix","Amphibia","Anura","Brachycephalidae","gbif_faunabr"
"Paraphimophis rustica","Reptilia","Squamata","Dipsadidae","gbif_faunabr"
"Boana albopunctatus","Amphibia","Anura","Hylidae","gbif_faunabr"
"Boana marginatus","Amphibia","Anura","Hylidae","gbif_faunabr"
"Boana prasinus","Amphibia","Anura","Hylidae","gbif_faunabr"
"Carollia brevicauda","Mammalia","Chiroptera","Phyllostomidae","gbif_faunabr"
"Balaenoptera bonaërensis","Mammalia","Artiodactyla","Balaenopteridae","gbif_faunabr"
"Placosoma glabelum","Reptilia","Squamata","Gymnophthalmidae","gbif_faunabr"
"Boana polytaenius","Amphibia","Anura","Hylidae","gbif_faunabr"
"Corallus hortulanus","Reptilia","Squamata","Boidae","gbif_faunabr"
"Pipa pipa","Amphibia","Anura","Pipidae","gbif_faunabr"
"Ecpleopus gaudichaudi","Reptilia","Squamata","Gymnophthalmidae","gbif_faunabr"
"Gardnerycteris crenulata","Mammalia","Chiroptera","Phyllostomidae","gbif_faunabr"
"Lasiurus blossevilli","Mammalia","Chiroptera","Vespertilionidae","gbif_faunabr"
"Elaenia albiceps","Aves","Passeriformes","Tyrannidae","gbif_only"
"Ololygon agilis","Amphibia","Anura","Hylidae","gbif_only"
"Oreophylax moreirae","Aves","Passeriformes","Furnariidae","gbif_only"
"Dendrophryniscus haddadi","Amphibia","Anura","Bufonidae","gbif_only"
"Oxymycterus roberti","Mammalia","Rodentia","Cricetidae","gbif_only"
"Melanophryniscus stelzneri","Amphibia","Anura","Bufonidae","gbif_only"
